,density,env,Run,BurnedOut,height,width
119,0.02,0.02,119,0.005555555555555556,100,100
120,0.02,0.021,120,0.005208333333333333,100,100
121,0.02,0.022,121,0.0,100,100
122,0.02,0.023,122,0.0,100,100
123,0.02,0.024,123,0.0,100,100
124,0.02,0.025,124,0.004975124378109453,100,100
125,0.02,0.026000000000000002,125,0.005263157894736842,100,100
126,0.02,0.027,126,0.005405405405405406,100,100
127,0.02,0.028,127,0.004629629629629629,100,100
128,0.02,0.029,128,0.009345794392523364,100,100
129,0.02,0.03,129,0.0,100,100
130,0.02,0.031,130,0.0,100,100
131,0.02,0.032,131,0.0,100,100
132,0.02,0.033,132,0.0,100,100
133,0.02,0.034,133,0.015306122448979591,100,100
134,0.02,0.035,134,0.0,100,100
135,0.02,0.036000000000000004,135,0.004739336492890996,100,100
136,0.02,0.037,136,0.016666666666666666,100,100
137,0.02,0.038,137,0.009950248756218905,100,100
138,0.02,0.039,138,0.009852216748768473,100,100
139,0.02,0.04,139,0.017777777777777778,100,100
140,0.02,0.041,140,0.019230769230769232,100,100
141,0.02,0.042,141,0.02127659574468085,100,100
142,0.02,0.043000000000000003,142,0.004784688995215311,100,100
143,0.02,0.044,143,0.015463917525773196,100,100
144,0.02,0.045,144,0.02631578947368421,100,100
145,0.02,0.046,145,0.009523809523809525,100,100
146,0.02,0.047,146,0.00510204081632653,100,100
147,0.02,0.048,147,0.015957446808510637,100,100
148,0.02,0.049,148,0.010256410256410256,100,100
149,0.02,0.05,149,0.004807692307692308,100,100
150,0.02,0.051000000000000004,150,0.009852216748768473,100,100
151,0.02,0.052000000000000005,151,0.027649769585253458,100,100
152,0.02,0.053,152,0.005154639175257732,100,100
153,0.02,0.054,153,0.01951219512195122,100,100
154,0.02,0.055,154,0.005291005291005291,100,100
155,0.02,0.056,155,0.01020408163265306,100,100
156,0.02,0.057,156,0.02127659574468085,100,100
157,0.02,0.058,157,0.020618556701030927,100,100
